2016-01-31 22:04:11.664 [] INFO  KEQWebPage  - JS Console:top is 418pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.665 [] INFO  KEQWebPage  - JS Console:dow: 1400: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.665 [] INFO  KEQWebPage  - JS Console:fit zoom is 0.3657142857142857: line:786 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.665 [] INFO  KEQWebPage  - JS Console:Called alignContent with |1400|1007|512|758|facing-page-left: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:11.665 [] INFO  KEQWebPage  - JS Console:top is 532pxleft is 0px: line:385 srcId:qrc:/js/js/manga-template.js
2016-01-31 22:04:15.501 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:15.502 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:15.504 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:15.504 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:15.504 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
2016-01-31 22:04:15.504 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: disableImageDragging: line:0 srcId:undefined
2016-01-31 22:04:15.518 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:15.519 [] INFO  FixedLayoutBook.ComicBook.MangaPage  - Get edited HTML for comic page
2016-01-31 22:04:15.520 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: setWritingMode: line:0 srcId:undefined
2016-01-31 22:04:15.520 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: getPagePathDetails: line:0 srcId:undefined
2016-01-31 22:04:15.520 [] INFO  KEQWebPage  - JS Console:ReferenceError: Can't find variable: loadTwoPages: line:0 srcId:undefined
